index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Unnamed: 22
2011,404-3277432-6723553,04-29-22,Shipped,Amazon,Amazon.in,Expedited,JNE2153,JNE2153-KR-278-A-XL,kurta,XL,B0794V95XT,Shipped,1,INR,424.0,BHUBANESWAR,ODISHA,751003.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
2012,403-9918500-6651534,04-29-22,Shipped,Amazon,Amazon.in,Expedited,JNE3739,JNE3739-KR-XXL,kurta,XXL,B099NK7Y5P,Shipped,1,INR,459.0,BENGALURU,KARNATAKA,560082.0,IN,,False,,
2013,405-5634704-9072316,04-29-22,Shipped,Amazon,Amazon.in,Expedited,SET110,SET110-KR-PP-XXL,Set,XXL,B0822V61TT,Shipped,1,INR,788.0,Ulhasnagar,MAHARASHTRA,421003.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
2014,406-4595057-9725933,04-29-22,Shipped,Amazon,Amazon.in,Expedited,J0166,J0166-DR-XS,Western Dress,XS,B08QGR275F,Shipped,1,INR,441.0,NEW DELHI,DELHI,110045.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
2015,408-8282046-8035528,04-29-22,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-XXL,kurta,XXL,B081WSL2JS,Shipped,1,INR,399.0,VAPI,Gujarat,396191.0,IN,,False,,
2016,402-3672454-0738756,04-29-22,Shipped,Amazon,Amazon.in,Expedited,SET347,SET347-KR-NP-L,Set,L,B09RKDW3QG,Shipped,1,INR,801.0,VASAI VIRAR,MAHARASHTRA,401208.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
2017,405-1547266-2754769,04-29-22,Shipped,Amazon,Amazon.in,Expedited,J0341,J0341-DR-S,Western Dress,S,B099NR7612,Shipped,1,INR,744.0,VISAKHAPATNAM,ANDHRA PRADESH,530011.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
2018,404-5169046-5093164,04-29-22,Shipped,Amazon,Amazon.in,Expedited,MEN5009,MEN5009-KR-M,kurta,M,B08YYX8VKT,Shipped,1,INR,499.0,KADAPA,ANDHRA PRADESH,516001.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
2019,171-5975931-2581955,04-29-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3703,JNE3703-KR-M,kurta,M,B099FCVXXD,Shipped,1,INR,316.0,MUMBAI,MAHARASHTRA,400075.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-N6QGG4HRHN6T4,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,
2020,171-6071448-5965141,04-29-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET320,SET320-KR-NP-XXXL,Set,3XL,B09RKD5K4Z,Shipped,1,INR,856.0,PUNE,MAHARASHTRA,411028.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-N6QGG4HRHN6T4,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-QMFZ3M7T5NPDS,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,Easy Ship,
2021,407-0518920-8029111,04-29-22,Shipped,Amazon,Amazon.in,Expedited,JNE3718,JNE3718-KR-XL,kurta,XL,B099NMFGMJ,Shipped,1,INR,406.0,BENGALURU,KARNATAKA,560024.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
2022,407-0518920-8029111,04-29-22,Shipped,Amazon,Amazon.in,Expedited,JNE3614,JNE3614-KR-XL,kurta,XL,B097ZZHBTC,Shipped,1,INR,459.0,BENGALURU,KARNATAKA,560024.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
2023,407-0518920-8029111,04-29-22,Shipped,Amazon,Amazon.in,Expedited,JNE3437,JNE3437-KR-XL,kurta,XL,B085HM8VTK,Shipped,1,INR,517.0,BENGALURU,KARNATAKA,560024.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
2024,402-4898958-1219567,04-29-22,Shipped,Amazon,Amazon.in,Expedited,J0118,J0118-TP-XXL,Top,XXL,B08N4QTQHW,Shipped,1,INR,487.0,BENGALURU,KARNATAKA,560076.0,IN,,False,,
2025,408-8271781-7285964,04-29-22,Shipped,Amazon,Amazon.in,Expedited,JNE3645,JNE3645-TP-N-L,Top,L,B08ZHNGS54,Shipped,1,INR,432.0,KHORDHA,ODISHA,752055.0,IN,,False,,
2026,403-4865362-5981957,04-29-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3710,JNE3710-DR-XXL,Western Dress,XXL,B091T32P4L,Unshipped,1,INR,690.0,LUDHIANA,PUNJAB,141013.0,IN,,False,,
2027,408-2942223-3018726,04-29-22,Cancelled,Amazon,Amazon.in,Standard,JNE3724,JNE3724-KR-XXL,kurta,XXL,B09811LWPN,Cancelled,0,,,DHULE,MAHARASHTRA,424002.0,IN,,False,,
2028,405-8812813-0604360,04-29-22,Cancelled,Amazon,Amazon.in,Expedited,SET268,SET268-KR-NP-L,Set,L,B08XQ8MCKP,Unshipped,1,INR,788.0,CHENNAI,TAMIL NADU,600116.0,IN,,False,,
2029,405-8891626-4254728,04-29-22,Shipped,Amazon,Amazon.in,Expedited,SET344,SET344-KR-NP-XXXL,Set,3XL,B09QJ3WT3H,Shipped,1,INR,968.0,NEW DELHI,DELHI,110088.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
2030,405-8891626-4254728,04-29-22,Shipped,Amazon,Amazon.in,Expedited,SET348,SET348-KR-NP-XXL,Set,XXL,B09QJ4KBJ8,Shipped,1,INR,968.0,NEW DELHI,DELHI,110088.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
2031,171-7181417-4211520,04-29-22,Shipped,Amazon,Amazon.in,Expedited,J0111,J0111-TP-XXXL,Top,3XL,B092D2QGV4,Shipped,1,INR,423.0,ZIRAKPUR,PUNJAB,140603.0,IN,,False,,
2032,404-7073303-1911528,04-29-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3713,JNE3713-TP-N-XXL,Top,XXL,B08ZHGDXW8,Shipped,1,INR,359.0,NEW DELHI,DELHI,110022.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-7REWEG6FZT6IU,Amazon PLCC Free-Financing Universal Merchant AAT-N6QGG4HRHN6T4,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-QMFZ3M7T5NPDS,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,Easy Ship,
2033,405-9044361-2693132,04-29-22,Cancelled,Amazon,Amazon.in,Expedited,J0341,J0341-DR-S,Western Dress,S,B099NR7612,Cancelled,0,,,VISAKHAPATNAM,ANDHRA PRADESH,530011.0,IN,,False,,
2034,404-8913256-9996304,04-29-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3697,JNE3697-KR-L,kurta,L,B09811Y7WM,Cancelled,0,,,BENGALURU,KARNATAKA,560068.0,IN,,False,,
2035,403-5262500-3905110,04-29-22,Cancelled,Amazon,Amazon.in,Expedited,J0230,J0230-SKD-S,Set,S,B08XNJ19QH,Cancelled,0,,,KHURJA,UTTAR PRADESH,203131.0,IN,,False,,
2036,406-2488091-1490762,04-29-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0385,J0385-KR-L,kurta,L,B09YYV1LF9,Shipped,1,INR,1249.0,UDAIPUR,RAJASTHAN,313001.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO,Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-N6QGG4HRHN6T4,Amazon PLCC Free-Financing Universal Merchant AAT-4UKS7UWZY3AES,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,
2037,408-9088841-2336336,04-29-22,Shipped,Amazon,Amazon.in,Expedited,MEN5032,MEN5032-KR-M,kurta,M,B08YZ1BNXR,Shipped,1,INR,562.0,SURAT,Gujarat,395002.0,IN,,False,,
